lat,lon,polygon_id
-24.249119,113.385265,0
-24.17018,113.433279,0
-24.049412,113.414561,0
-23.990655,113.455333,0
-23.910333,113.459727,0
-23.624688,113.60434,0
-23.527032,113.737559,0
-23.457696,113.768809,0
-23.327081,113.782481,0
-23.162286,113.748302,0
-23.051365,113.811534,0
-22.930597,113.807384,0
-22.788751,113.759776,0
-22.727797,113.658946,0
-22.577732,113.646658,0
-22.330824,113.803966,0
-21.952569,113.947032,0
-21.837823,114.035818,0
-21.802992,114.172211,0
-22.17547,114.077485,0
-22.275323,114.12436,0
-22.330987,114.109711,0
-22.294529,114.147472,0
-22.317478,114.171397,0
-22.398858,114.117686,0
-22.477716,114.11085,0
-22.521742,114.179698,0
-22.443292,114.286632,0
-22.493829,114.337413,0
-22.478285,114.367035,0
-22.172296,114.467621,0
-22.16367,114.497813,0
-22.069268,114.522309,0
-22.00449,114.495616,0
-22.041925,114.550304,0
-21.843357,114.646739,0
-21.693943,114.928966,0
-21.665216,115.105154,0
-21.501153,115.478526,0
-21.321954,115.625987,0
-21.225763,115.818696,0
-21.059015,115.936697,0
-20.969985,116.151541,0
-20.846856,116.1963,0
-20.863214,116.289399,0
-20.814711,116.451508,0
-20.659356,116.699392,0
-20.534926,116.790863,0
-20.539321,116.845388,0
-20.657159,116.783946,0
-20.712091,116.855479,0
-20.596368,117.154063,0
-20.673517,117.181326,0
-20.727716,117.35377,0
-20.706313,117.513438,0
-20.657322,117.602712,0
-20.658461,117.736339,0
-20.616876,117.839366,0
-20.555108,117.91863,0
-20.492771,117.940684,0
-20.356134,118.15089,0
-20.371677,118.230805,0
-20.335707,118.322276,0
-20.362074,118.368826,0
-20.28102,118.805675,0
-20.050388,118.97462,0
-19.966729,119.09547,0
-20.00742,119.161388,0
-19.966241,119.163259,0
-19.958917,119.192393,0
-19.999933,119.463064,0
-20.065851,119.589854,0
-20.003676,119.71754,0
-19.96266,119.734386,0
-19.86712,120.3685,0
-19.633722,120.954356,0
-19.520685,121.128266,0
-19.354099,121.311534,0
-19.069594,121.519379,0
-18.810235,121.642589,0
-18.712498,121.613292,0
-18.703709,121.715587,0
-18.657403,121.769054,0
-18.606134,121.77475,0
-18.580987,121.731619,0
-18.462579,121.811046,0
-18.464451,121.91033,0
-18.121189,122.347016,0
-18.063897,122.369151,0
-17.983005,122.344086,0
-17.978285,122.16977,0
-17.91131,122.207856,0
-17.71087,122.205414,0
-17.563653,122.14324,0
-17.261163,122.172048,0
-17.139255,122.279633,0
-17.12127,122.256602,0
-17.089288,122.276052,0
-16.972752,122.412771,0
-16.950453,122.45102,0
-16.981622,122.450857,0
-16.970961,122.478282,0
-16.92018,122.472911,0
-16.970961,122.594981,0
-16.861749,122.526134,0
-16.779555,122.582367,0
-16.800226,122.642833,0
-16.758722,122.7588,0
-16.779718,122.820974,0
-16.702895,122.746104,0
-16.604425,122.7588,0
-16.512302,122.886404,0
-16.415948,122.916189,0
-16.382582,123.020274,0
-16.422947,122.998383,0
-16.470636,123.053722,0
-16.473403,122.990001,0
-16.580336,122.959809,0
-16.625421,122.980724,0
-16.614353,123.021007,0
-16.692478,123.042817,0
-16.712091,123.102061,0
-16.686293,123.132172,0
-16.769301,123.094493,0
-16.807712,123.15089,0
-16.913751,123.143321,0
-17.014744,123.260427,0
-17.315606,123.38795,0
-17.429783,123.501475,0
-17.595147,123.570811,0
-17.361993,123.567638,0
-17.184747,123.644298,0
-17.094008,123.5796,0
-16.985121,123.594981,0
-16.995782,123.656016,0
-17.060317,123.680186,0
-17.066095,123.733409,0
-17.210382,123.86085,0
-17.21559,123.913341,0
-17.163263,123.85377,0
